l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l21;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)";0.022134492;37.62863611;117.9756912;140.8374593;0.082845564;1700;;l21;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)";;;;;;;;;;l21;117.9756912;140.8374593
l22;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)";0.392847601;667.8409217;591.475002;885.7398825;0.52102346;1700;;l22;"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)";;;;;;;;;;l22;591.475002;885.7398825
l23;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)";0.049561171;24.28497383;28.39767768;93.50650594;0.190829604;490;;l23;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.52960512906833 53.6189906941937)";;;;;;;;;;l23;28.39767768;93.50650594
l24;"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)";0.100351027;49.17200308;62.25389385;209.5928807;0.427740573;490;;l24;"SRID=4326;LINESTRING(9.77654483874895 53.6906352606291,9.98853660865951 53.766277668594)";;;;;;;;;;l24;62.25389385;209.5928807
l25;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)";0.114246426;194.218925;140.0304626;194.218925;0.114246426;1700;;l25;"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.1575015165126 53.5551316685834)";;;;;;;;;;l25;140.0304626;194.218925
l26;"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)";0.009483783;16.12243061;220.2995946;336.7544335;0.198090843;1700;;l26;"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)";;;;;;;;;;l26;220.2995946;336.7544335
l27;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.34476098807139 53.9218370583068)";0.075406021;128.1902364;98.24362446;258.2261658;0.151897745;1700;;l27;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.34476098807139 53.9218370583068)";;;;;;;;;;l27;98.24362446;258.2261658
l28;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,11.1228545605428 50.9989090670144)";0.079102792;134.4747469;147.1950849;343.2776226;0.201928013;1700;;l28;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,11.1228545605428 50.9989090670144)";;;;;;;;;;l28;147.1950849;343.2776226
l29;"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.3859411643633 51.0018133014781)";0.041935895;71.29102234;159.5386828;407.6701058;0.239805945;1700;;l29;"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.3859411643633 51.0018133014781)";;;;;;;;;;l29;159.5386828;407.6701058
l30;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.08565059715704 53.605834192587)";0.063563268;31.14600117;108.4023576;473.9449238;0.967234538;490;;l30;"SRID=4326;LINESTRING(8.12264230304551 53.5605160490331,8.08565059715704 53.605834192587)";;;;;;;;;;l30;108.4023576;473.9449238
