v_id;lon;lat;typ;voltage;frequency;name;operator;ref;wkt_srid_4326
183;9.908847568;53.48804665;substation;"380000;110000";50;Umspannwerk Hamburg/Süd;"50Hertz Transmission;Stromnetz Hamburg GmbH";;"SRID=4326;POINT(9.90884756824768 53.4880466468098)"
184;6.617381156;51.47579097;substation;"380000;220000;110000";50;Station Utfort;Amprion;;"SRID=4326;POINT(6.61738115554636 51.4757909650564)"
185;6.656735237;51.37952366;substation;"220000;110000";50;Uerdingen;;;"SRID=4326;POINT(6.65673523718494 51.3795236591475)"
186;6.711145287;51.52618758;substation;380000;50;Walsum Block 10;Amprion;;"SRID=4326;POINT(6.71114528740106 51.5261875789907)"
187;6.689342821;51.57642293;substation;380000;;Station Zensenbusch;Amprion;;"SRID=4326;POINT(6.68934282070814 51.5764229278963)"
188;6.723652389;51.37584584;generator;;;Kraftwerk Huckingen;;;"SRID=4326;POINT(6.72365238886558 51.3758458427716)"
189;8.616647706;48.06595385;substation;"380000;110000";50;Umspannwerk Trossingen;;TRSNG;"SRID=4326;POINT(8.61664770595698 48.0659538545522)"
190;8.872942801;48.3100913;substation;380000;50;EnBW Umspannwerk Engstlatt;EnBW;ENGST;"SRID=4326;POINT(8.87294280093827 48.310091303568)"
191;6.715252626;51.52679087;substation;"220000;110000";50;Station Walsum;Amprion;;"SRID=4326;POINT(6.71525262621456 51.5267908744287)"
192;12.18576524;53.81085983;substation;"220000;110000";;Güstrow;EON_edis;;"SRID=4326;POINT(12.185765240779 53.8108598322992)"
193;6.722569826;51.47978771;substation;"380000;220000;110000";50;Station Beeck;;;"SRID=4326;POINT(6.7225698255489 51.4797877133457)"
195;6.683106995;51.57564552;substation;220000;;Station Möllen;;;"SRID=4326;POINT(6.68310699520914 51.5756455198898)"
196;6.745416851;51.49864192;substation;220000;;;;;"SRID=4326;POINT(6.74541685133193 51.4986419229617)"
197;6.61427858;51.61867882;substation;"220000;110000";50;;;;"SRID=4326;POINT(6.61427858001903 51.6186788195162)"
198;7.970656953;51.67684469;substation;380000;50;;;;"SRID=4326;POINT(7.97065695307765 51.6768446919669)"
199;7.445069325;51.61850012;substation;"220000;110000";;Station Elmenhorst;Amprion;;"SRID=4326;POINT(7.44506932534523 51.6185001200754)"
200;6.732124942;51.45944375;substation;"220000;110000";50;Station Ruhrort;Amprion;;"SRID=4326;POINT(6.73212494203963 51.4594437546532)"
201;9.251034294;53.11443232;substation;"380000;220000;110000";50;Sottrum;EON_Netz;;"SRID=4326;POINT(9.25103429423424 53.1144323213021)"
202;7.320892649;52.47145723;plant;;;Kernkraftwerk Emsland;KKW Lippe-Ems;KKE;"SRID=4326;POINT(7.32089264924598 52.4714572257118)"
203;6.759174899;52.24885792;substation;380,000,110,000;;Hengelo;TenneT;HGL;"SRID=4326;POINT(6.75917489922906 52.2488579210093)"
