l_id;wkt_srid_4326;;;;;;;
l35;"SRID=4326;LINESTRING(11.727353429381 52.5689470103264,13.1433929675199 53.9081470154338)";0.004419369;7.512927371;1700;1;;7.512927371;7.512927371
l36;"SRID=4326;LINESTRING(11.727353429381 52.5689470103264,11.8531051573669 53.0865440610132)";0.056737036;96.45296088;1700;1;;-96.45296088;96.45296088
l37;"SRID=4326;LINESTRING(13.6834769799404 54.1390906728297,12.1869848529515 53.8157751978716)";0.224227033;381.1859555;1700;1;;381.1859555;381.1859555
l38;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,12.4993660253653 52.4052284426773)";0.190485978;93.33812928;490;1;;93.33812928;93.33812928
l39;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,12.4993660253653 52.4052284426773)";0.190697194;93.44162528;490;1;;93.44162528;93.44162528
l40;"SRID=4326;LINESTRING(13.5061280249068 52.4738227039188,13.3057533352426 52.2307818607751)";0.055504584;27.1972464;490;1;;-27.1972464;27.1972464
l41;"SRID=4326;LINESTRING(13.5061280249068 52.4738227039188,13.5241987812625 52.5356343208068)";0.091999028;45.07952369;490;1;;45.07952369;45.07952369
l42;"SRID=4326;LINESTRING(13.5241987812625 52.5356343208068,13.709669749528 52.5397952998981)";0.656754125;1116.482013;1700;1;;-1116.482013;1116.482013
l43;"SRID=4326;LINESTRING(13.5241987812625 52.5356343208068,13.709669749528 52.5397952998981)";0.656020753;1115.23528;1700;1;;-1115.23528;1115.23528
l44;"SRID=4326;LINESTRING(13.4564307414427 52.521451771614,13.5370284535837 52.5374809881862)";0.019127584;32.51689224;1700;1;;32.51689224;32.51689224
l45;"SRID=4326;LINESTRING(9.74615085631454 50.9168400022101,10.3859411718194 51.0018133141165)";0.071266204;121.1525475;1700;1;;-121.1525475;121.1525475
l46;"SRID=4326;LINESTRING(9.74615085631454 50.9168400022101,9.25938384941478 51.0603668957955)";0.53448455;1,817;3400;2;;-1817.247469;1817.247469
l47;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,7.75349549403634 48.0993557332288)";0.540484655;918.8239133;1700;1;;918.8239133;918.8239133
l48;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,8.4384675602346 49.2524597535318)";0.868930001;1,477;1700;1;;-1477.181001;1477.181001
l49;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,8.51211173756804 49.2939665911691)";0.155074714;75.98661004;490;1;;75.98661004;75.98661004
l50;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,8.62320969485988 49.356582256425)";0.671668952;329.1177864;490;1;;-329.1177864;329.1177864
l51;"SRID=4326;LINESTRING(8.44554253599103 48.9860882032815,8.31334018942867 49.0090434774209)";0.593274568;290.7045383;490;1;;-290.7045383;290.7045383
l52;"SRID=4326;LINESTRING(8.44554253599103 48.9860882032815,8.64158407529801 48.8900525292561)";0.022142018;10.84958886;490;1;;10.84958886;10.84958886
l53;"SRID=4326;LINESTRING(8.64158407529801 48.8900525292561,8.31334018942867 49.0090434774209)";0.293791978;143.9580694;490;1;;-143.9580694;143.9580694
l54;"SRID=4326;LINESTRING(8.56374402466983 53.0317216060084,8.47470705828713 53.4286512121137)";0.115250148;195.9252518;1700;1;;-195.9252518;195.9252518
l55;"SRID=4326;LINESTRING(8.51888183670623 53.2026352879915,8.82002488536158 53.1073883123751)";0.771865779;378.2142319;490;1;;378.2142319;378.2142319
l56;"SRID=4326;LINESTRING(9.50178971212981 53.5428143880013,8.51888183670623 53.2026352879915)";0.307401475;522.5825077;1700;1;;-522.5825077;522.5825077
l57;"SRID=4326;LINESTRING(8.12061826655718 48.7053527235337,8.31334018942867 49.0090434774209)";0.740035416;362.617354;490;1;;-362.617354;362.617354
l58;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.4407746571386 48.1718035686213)";0.065291291;110.9951953;1700;1;;110.9951953;110.9951953
l59;"SRID=4326;LINESTRING(13.3264050703954 50.3463722141376,12.1147699347953 49.6311522364994)";1;1700;1700;1;;1700;1700
l60;"SRID=4326;LINESTRING(8.56374402466983 53.0317216060084,8.69516076534637 53.0925361336519)";0.083232371;141.4950302;1700;1;;141.4950302;141.4950302
l61;"SRID=4326;LINESTRING(8.51888183670623 53.2026352879915,8.69516076534637 53.0925361336519)";0.477937638;812;1700;1;;-812.4939844;812.4939844
l62;"SRID=4326;LINESTRING(8.77244299222179 49.9746686767501,8.41937108566179 49.6337357665925)";0.04999969;84.99947385;1700;1;;-84.99947385;84.99947385
l63;"SRID=4326;LINESTRING(8.38855643052221 49.9823050863709,8.41937108566179 49.6337357665925)";0.391839873;666.1277838;1700;1;;666.1277838;666.1277838
l64;"SRID=4326;LINESTRING(12.262173544509 51.7410202813412,11.8942662085419 51.4057031779769)";0.16015561;272.2645367;1700;1;;272.2645367;272.2645367
l65;"SRID=4326;LINESTRING(13.1570905224719 51.8284516784236,13.9024347133056 51.874723530085)";0.227530603;386.8020258;1700;1;;-386.8020258;386.8020258
l66;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,11.5165549994374 51.5843592162484)";0.076564991;130.160485;1700;1;;130.160485;130.160485
l67;"SRID=4326;LINESTRING(11.8942662085419 51.4057031779769,11.5165549994374 51.5843592162484)";0.040538419;68.91531252;1700;1;;-68.91531252;68.91531252
l68;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,11.8942662085419 51.4057031779769)";0.068023957;115.6407264;1700;1;;115.6407264;115.6407264
l69;"SRID=4326;LINESTRING(8.70221847039735 51.7363525890089,8.99279243937742 51.3430094105575)";0.261933064;445.286208;1700;1;;-445.286208;445.286208
l70;"SRID=4326;LINESTRING(8.70221847039735 51.7363525890089,8.99279243937742 51.3430094105575)";0.261933064;445.286208;1700;1;;-445.286208;445.286208
l71;"SRID=4326;LINESTRING(13.1570905224719 51.8284516784236,11.8942662085419 51.4057031779769)";0.182415505;310.1063583;1700;1;;310.1063583;310.1063583
l72;"SRID=4326;LINESTRING(13.6834769799404 54.1390906728297,13.1433929675199 53.9081470154338)";0.049959235;84.93069905;1700;1;;-84.93069905;84.93069905
l73;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.3057533352426 52.2307818607751)";0.112442036;55.09659752;490;1;;-55.09659752;55.09659752
l74;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.9024347133056 51.874723530085)";0.116661431;198.3244331;1700;1;;-198.3244331;198.3244331
l75;"SRID=4326;LINESTRING(13.3057533352426 52.2307818607751,13.9024347133056 51.874723530085)";0.106022036;180.2374604;1700;1;;-180.2374604;180.2374604
l76;"SRID=4326;LINESTRING(11.6463786860412 50.5348769896165,11.1228546271538 50.9989090757631)";0.204758311;348.0891292;1700;1;;-348.0891292;348.0891292
l77;"SRID=4326;LINESTRING(14.4719654746961 51.5538127702297,14.5081092115389 51.4137104048148)";0.856292838;1,456;1700;1;;1455.697825;1455.697825
l78;"SRID=4326;LINESTRING(14.4719654746961 51.5538127702297,14.5081092115389 51.4137104048148)";0.856955453;1,457;1700;1;;1456.82427;1456.82427
l79;"SRID=4326;LINESTRING(14.4281805295455 51.888864175856,14.4719654746961 51.5538127702297)";0.437089946;743;1700;1;;743.0529087;743.0529087
l80;"SRID=4326;LINESTRING(14.4281805295455 51.888864175856,14.4719654746961 51.5538127702297)";0.4369844;743;1700;1;;742.8734794;742.8734794
