v_id;wkt_srid_4326;Curtailment;;;;;;
n231;"SRID=4326;POINT(7.95805402328778 47.5954722640613)";0;;;;;;
n232;"SRID=4326;POINT(10.0837512706734 48.268867515302)";0;;;;;;
n233;"SRID=4326;POINT(9.88551509756969 48.3040743584705)";0;;;;;;
n234;"SRID=4326;POINT(9.01340238045655 47.8453486310857)";0;;;;;;
n235;"SRID=4326;POINT(8.25192548128222 47.6397698264894)";0;;;;;;
n236;"SRID=4326;POINT(9.19675652645089 48.9129634380259)";0;;;;;;
n238;"SRID=4326;POINT(6.62053556843084 49.7489386710632)";0;;;;;;
n239;"SRID=4326;POINT(6.70228540768092 49.8289944201161)";0;;;;;;
n240;"SRID=4326;POINT(8.53151493939883 50.047874332134)";0;;;;;;
n241;"SRID=4326;POINT(8.4713716330449 50.0972077427754)";0;;;;;;
n242;"SRID=4326;POINT(8.06573796639762 50.4060681118621)";0;;;;;;
n243;"SRID=4326;POINT(8.5372190281928 50.078085046277)";0;;;;;;
n244;"SRID=4326;POINT(8.54248113429862 50.0959883485051)";0;;;;;;
n245;"SRID=4326;POINT(8.98953614977701 50.0602550608281)";0;;;;;;
n246;"SRID=4326;POINT(8.95870856177306 50.0826078105489)";0;;;;;;
n247;"SRID=4326;POINT(10.363384232266 47.7383368092793)";0;;;;;;
n248;"SRID=4326;POINT(7.46150025901999 51.6146143079042)";0;;;;;;
n249;"SRID=4326;POINT(7.71823231962748 51.6743422007117)";0;;;;;;
n250;"SRID=4326;POINT(7.71554341949648 51.6736430744508)";0;;;;;;
n251;"SRID=4326;POINT(7.71459453349968 51.6730996381138)";0;;;;;;
n252;"SRID=4326;POINT(7.71270093431027 51.672663662233)";0;;;;;;
n253;"SRID=4326;POINT(7.98122159643085 51.6735262619046)";0;;;;;;
n254;"SRID=4326;POINT(7.79256714933307 49.8105487811028)";0;;;;;;
n255;"SRID=4326;POINT(6.92013045452502 49.9705818904706)";0;;;;;;
n256;"SRID=4326;POINT(6.75552340556687 49.3648695914696)";0;;;;;;
n257;"SRID=4326;POINT(8.41467459584413 49.7091468139245)";0;;;;;;
n258;"SRID=4326;POINT(9.88280429847019 51.5155074976724)";0;;;;;;
n259;"SRID=4326;POINT(9.85139357253472 51.6491352399809)";0;;;;;;
n260;"SRID=4326;POINT(8.78579302528601 48.5837674015328)";1.79955;;;;;;
n261;"SRID=4326;POINT(9.0454349679866 48.9029620137561)";0;;;;;;
n262;"SRID=4326;POINT(9.8013171668981 47.6525043240978)";0;;;;;;
n264;"SRID=4326;POINT(9.42551238607291 48.0643507981263)";0;;;;;;
n265;"SRID=4326;POINT(8.10495957410199 52.2642613740358)";0;;;;;;
n266;"SRID=4326;POINT(12.1301906295374 47.9131654820025)";0;;;;;;
n267;"SRID=4326;POINT(6.8018236570969 51.1247880606241)";0;;;;;;
n268;"SRID=4326;POINT(7.98506745761923 50.8422254447013)";0;;;;;;
n269;"SRID=4326;POINT(8.284861778672 50.7590735194915)";0;;;;;;
n270;"SRID=4326;POINT(7.22423842685352 53.3499271468647)";1102.904303;;;;;;
n271;"SRID=4326;POINT(7.20605284001418 53.3413192541639)";879.5624445;;;;;;
n272;"SRID=4326;POINT(9.31819523638713 54.7160494089748)";1114.205348;;;;;;
n275;"SRID=4326;POINT(7.43348911422107 50.4365195361077)";0;;;;;;
n276;"SRID=4326;POINT(7.59330184856855 50.3859437917469)";0;;;;;;
n277;"SRID=4326;POINT(8.12215702005755 53.5658323292485)";0;;;;;;
n278;"SRID=4326;POINT(11.5615074728142 52.1238924527264)";31.128519;;;;;;
n279;"SRID=4326;POINT(12.8139099116529 50.8579185114397)";0;;;;;;
n280;"SRID=4326;POINT(13.3823233828996 51.3559961579888)";0;;;;;;
n281;"SRID=4326;POINT(12.0449825161601 50.7812567340735)";0;;;;;;
n282;"SRID=4326;POINT(12.5182220968156 51.1570725850832)";0;;;;;;
n283;"SRID=4326;POINT(8.48009523461158 50.5909204313802)";0;;;;;;
n284;"SRID=4326;POINT(8.65659923594081 50.6055491256016)";0;;;;;;
n285;"SRID=4326;POINT(8.08162670615254 52.858637484526)";358.4296405;;;;;;
n286;"SRID=4326;POINT(9.56710201161841 51.3252573276817)";0;;;;;;
n287;"SRID=4326;POINT(7.74679248425685 52.2885115081219)";0;;;;;;
n288;"SRID=4326;POINT(7.91072928612534 48.5012882982432)";0.570339;;;;;;
n289;"SRID=4326;POINT(7.7257063478071 52.2771949017405)";0;;;;;;
n290;"SRID=4326;POINT(14.2192282929357 51.120707992198)";0;;;;;;
n291;"SRID=4326;POINT(14.5700865498873 51.4190136844256)";0;;;;;;
n292;"SRID=4326;POINT(11.6441811001256 51.908512873438)";0;;;;;;
n293;"SRID=4326;POINT(11.4746908222742 50.6040154814218)";0;;;;;;
n294;"SRID=4326;POINT(10.9910146333086 50.573526990181)";0;;;;;;
n295;"SRID=4326;POINT(10.5054991208047 52.3018379056382)";3.86844208;;;;;;
n296;"SRID=4326;POINT(9.11362795987411 52.5457924749284)";0;;;;;;
n297;"SRID=4326;POINT(10.3692300485918 52.1670924338554)";0;;;;;;
n298;"SRID=4326;POINT(10.4195406346214 52.2369606619834)";10.5026;;;;;;
n299;"SRID=4326;POINT(10.0876467999739 52.3151305547947)";11.67331814;;;;;;
n300;"SRID=4326;POINT(8.40314143640892 52.609644011383)";0;;;;;;
n301;"SRID=4326;POINT(10.2358631058452 52.2934595399896)";34.79402704;;;;;;
n302;"SRID=4326;POINT(9.5142400914841 51.2590355805955)";0;;;;;;
n303;"SRID=4326;POINT(9.38765125748855 51.640733525594)";0;;;;;;
n304;"SRID=4326;POINT(9.77415043834156 50.5287496465011)";0;;;;;;
n305;"SRID=4326;POINT(9.17745967557079 49.037809850476)";0;;;;;;
n306;"SRID=4326;POINT(9.17731110343941 49.039378200434)";0;;;;;;
n307;"SRID=4326;POINT(9.15135394990856 49.1433834119236)";0;;;;;;
n308;"SRID=4326;POINT(10.1878339995516 49.981219040845)";0;;;;;;
n309;"SRID=4326;POINT(9.44691867105201 49.5902629324336)";0;;;;;;
n310;"SRID=4326;POINT(9.20736443093694 49.1766379540065)";0;;;;;;
n311;"SRID=4326;POINT(9.69465635518013 49.2325925411591)";0;;;;;;
n312;"SRID=4326;POINT(10.1174866946797 48.8971053361382)";0;;;;;;
