l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
238;105;186;"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.7111452744645 51.5261875490663)";;380000;3;4;50;Niederrhein West;Amprion;;18907;0.025;0.25;13.7;2.6;1526991
239;105;187;"SRID=4326;LINESTRING(6.68078798893986 51.6462959356851,6.68934277038931 51.5764228881728)";;380000;3;4;50;Zensenbusch Nord;Amprion;;12541;0.025;0.25;13.7;2.6;1527013
240;191;193;"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.72256980950278 51.4797876727124)";;220000;3;2;50;Beeck Tr212;Amprion;;8483;0.08;0.32;11.5;1.3;1527967
241;187;194;"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)";;380000;3;4;50;Voerde B;Amprion;;710;0.025;0.25;13.7;2.6;1527969
242;187;194;"SRID=4326;LINESTRING(6.68934277038931 51.5764228881728,6.68306568260248 51.577104777735)";;380000;3;4;50;Voerde A;Amprion;;562;0.025;0.25;13.7;2.6;1527971
243;191;195;"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.68310697663871 51.5756455059265)";;220000;3;2;50;Möllen Süd;Amprion;;6647;0.08;0.32;11.5;1.3;1527975
244;191;196;"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.74541676675317 51.4986419480434)";;220000;3;2;50;Schwelgern Tr22;Amprion;;5026;0.08;0.32;11.5;1.3;1527977
245;197;195;"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.68310697663871 51.5756455059265)";;220000;3;2;50;Möllen Nord;Amprion;;7165;0.08;0.32;11.5;1.3;1527982
246;110;198;"SRID=4326;LINESTRING(7.99288723332679 51.6837077155955,7.9706568937083 51.6768446667846)";;380000;3;4;50;Westfalen D;Amprion;;2167;0.025;0.25;13.7;2.6;1703680
247;197;191;"SRID=4326;LINESTRING(6.61427855504049 51.6186788033284,6.71525259691926 51.5267908666491)";;220000;3;2;50;Löhnen West;Amprion;;13873;0.08;0.32;11.5;1.3;1527984
248;199;165;"SRID=4326;LINESTRING(7.44506930371379 51.6185000869374,7.70831848872651 51.6762033088437)";;220000;3;1;50;Cappenberg Süd;Amprion;;27322;0.16;0.64;5.75;0.65;1547542
249;134;123;"SRID=4326;LINESTRING(6.80461158012622 50.9662452961379,6.70220337779745 51.0088609096753)";;220000;3;2;50;Rommerskirchen Ost;Amprion;;11754;0.08;0.32;11.5;1.3;1548412
250;200;193;"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)";;220000;3;2;50;Stockum West;Amprion;;2820;0.08;0.32;11.5;1.3;1578736
251;200;193;"SRID=4326;LINESTRING(6.73212495035583 51.4594437365975,6.72256980950278 51.4797876727124)";;220000;3;2;50;Stockum Ost;Amprion;;2820;0.08;0.32;11.5;1.3;1578739
252;4;201;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)";;380000;3;2;50;3003 schwarz;TenneT;3003;79190;0.05;0.5;6.85;1.3;1584792
253;4;201;"SRID=4326;LINESTRING(9.12526570294975 52.5382640870749,9.25103425143703 53.1144323051271)";;380000;3;2;50;3003 grün;TenneT;3003;79282;0.05;0.5;6.85;1.3;1584793
254;202;86;"SRID=4326;LINESTRING(7.32089257541703 52.4714572265383,7.30820430094578 52.4768353862806)";;380000;3;4;50;Kernkraftwerk Emsland;Amprion;;772;0.025;0.25;13.7;2.6;1596307
255;85;203;"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)";;380000;3;4;50;Gronau - Hengelo weiß;Amprion;;21968;0.025;0.25;13.7;2.6;1596713
256;85;203;"SRID=4326;LINESTRING(7.03496796515083 52.2028607381056,6.75917485282445 52.2488578798871)";;380000;3;4;50;Gronau - Hengelo schwarz;Amprion;;21962;0.025;0.25;13.7;2.6;1596714
257;147;204;"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)";;220000;3;2;50;Südleitung;markE;S;22344;0.08;0.32;11.5;1.3;1605946
258;147;204;"SRID=4326;LINESTRING(7.50597329671546 51.401592550355,7.70632726933662 51.278583155205)";;220000;3;2;50;Nordleitung;markE;N;22347;0.08;0.32;11.5;1.3;1605949
