v_id;wkt_srid_4326;Average price 24;Average price 100;;;;;
n168;"SRID=4326;POINT(6.90660779028721 51.5652424465435)";48.04072908;94.9203378;;;;;
n169;"SRID=4326;POINT(6.96734393053748 51.4908618864265)";50.33337634;81.27825179;;;;;
n170;"SRID=4326;POINT(6.87287359352087 51.4457833372124)";50.33337634;81.27825179;;;;;
n171;"SRID=4326;POINT(6.86804496307922 51.3744747805902)";102.266301;137.9119804;;;;;
n172;"SRID=4326;POINT(6.78752251671348 51.505550100013)";48.4371432;92.56152944;;;;;
n173;"SRID=4326;POINT(6.62284323546559 51.258713368098)";-76.90168139;-168.4780814;;;;;
n174;"SRID=4326;POINT(6.81216588075166 51.5196200118095)";41.44705502;134.1550993;;;;;
n175;"SRID=4326;POINT(6.72031000055597 51.3915325380171)";114.1786024;128.6360041;;;;;
n176;"SRID=4326;POINT(6.54240844257145 51.2994458149911)";-124.8114159;125.1011706;;;;;
n177;"SRID=4326;POINT(13.0786421047586 54.2848461697305)";-151.3818392;-121.5042058;;;;;
n178;"SRID=4326;POINT(8.02029033797883 50.9236168949394)";35.14168383;222.7254017;;;;;
n179;"SRID=4326;POINT(13.9570055475871 53.252171625753)";-157.0114483;-75.22286275;;;;;
n180;"SRID=4326;POINT(14.270834670665 53.0962865535819)";-120.3060124;-43.0615608;;;;;
n181;"SRID=4326;POINT(14.0336963684666 53.5078685980791)";-146.3177473;-79.99620659;;;;;
n183;"SRID=4326;POINT(9.90884752815356 53.4880466403676)";-134.5263893;18.29981546;;;;;
n184;"SRID=4326;POINT(6.61738109142906 51.4757909635544)";38.01466085;187.9440165;;;;;
n185;"SRID=4326;POINT(6.65673519501182 51.379523634379)";77.57875533;157.1358971;;;;;
n186;"SRID=4326;POINT(6.7111452744645 51.5261875490663)";39.16751318;169.8777119;;;;;
n187;"SRID=4326;POINT(6.68934277038931 51.5764228881728)";39.91676047;158.1362864;;;;;
n188;"SRID=4326;POINT(6.72365237186396 51.375845810902)";102.266301;137.9119804;;;;;
n189;"SRID=4326;POINT(8.61664767275337 48.0659537906797)";2683.706537;3119.22283;;;;;
n190;"SRID=4326;POINT(8.87294280487974 48.3100912582216)";2632.525493;3300.836353;;;;;
n191;"SRID=4326;POINT(6.71525259691926 51.5267908666491)";48.4371432;92.56152944;;;;;
n192;"SRID=4326;POINT(12.1857651811846 53.8108597989599)";-153.7865554;-132.4729715;;;;;
n193;"SRID=4326;POINT(6.72256980950278 51.4797876727124)";48.4371432;92.56152944;;;;;
n194;"SRID=4326;POINT(6.68306568260248 51.577104777735)";39.91676047;158.1362864;;;;;
n195;"SRID=4326;POINT(6.68310697663871 51.5756455059265)";48.4371432;2313.542346;;;;;
n196;"SRID=4326;POINT(6.74541676675317 51.4986419480434)";48.4371432;92.56152944;;;;;
n197;"SRID=4326;POINT(6.61427855504049 51.6186788033284)";48.4371432;4707.60396;;;;;
n198;"SRID=4326;POINT(7.9706568937083 51.6768446667846)";34.91931131;411.5570677;;;;;
n199;"SRID=4326;POINT(7.44506930371379 51.6185000869374)";65.83825435;447.6716816;;;;;
n200;"SRID=4326;POINT(6.73212495035583 51.4594437365975)";48.4371432;92.56152944;;;;;
n201;"SRID=4326;POINT(9.25103425143703 53.1144323051271)";-186.1084131;-95.59019796;;;;;
n202;"SRID=4326;POINT(7.32089257541703 52.4714572265383)";-72.63890518;-42.96804257;;;;;
n204;"SRID=4326;POINT(7.70632726933662 51.278583155205)";40.25637302;-84.44687251;;;;;
n205;"SRID=4326;POINT(7.45034204531003 51.413608212821)";40.25637302;-84.44687251;;;;;
n206;"SRID=4326;POINT(6.63448162267058 51.0359799381303)";14.67938898;22.65734628;;;;;
n207;"SRID=4326;POINT(7.60711612154456 51.8986046029193)";1080.776311;-32.09127159;;;;;
n208;"SRID=4326;POINT(7.4035444340631 51.644449487967)";29.42843368;390.3507904;;;;;
n209;"SRID=4326;POINT(8.93969252741257 52.4030332405173)";-2.506103734;357.117606;;;;;
n210;"SRID=4326;POINT(9.40952032742215 52.034316665873)";-42.90308804;8.352449458;;;;;
n211;"SRID=4326;POINT(7.23579344536789 49.3693923629482)";26.47256345;1068.072603;;;;;
n212;"SRID=4326;POINT(6.81368431456473 49.7248340737293)";7.12525027;1996.2229;;;;;
n213;"SRID=4326;POINT(8.58869049603326 49.8155140579794)";219.1519001;1017.403802;;;;;
n214;"SRID=4326;POINT(8.5471609252134 49.4405396661002)";190.6905872;-38.62239406;;;;;
n215;"SRID=4326;POINT(8.40826973550855 49.5285689245626)";39.52270202;31.44598041;;;;;
n216;"SRID=4326;POINT(9.1907874369222 48.914416873799)";110.351278;620.366674;;;;;
n217;"SRID=4326;POINT(12.1320699705054 54.14245987564)";-153.7865554;-132.4729715;;;;;
n218;"SRID=4326;POINT(12.2135605440795 54.1119998545154)";-152.8529653;-127.7189753;;;;;
n219;"SRID=4326;POINT(8.5712588278729 52.1053649602273)";16.67766434;499.1371013;;;;;
n220;"SRID=4326;POINT(8.65937290290079 51.9996101318907)";20.90881867;530.4607913;;;;;
n221;"SRID=4326;POINT(7.31136229105814 53.1257665563186)";-150;-146.9580926;;;;;
n223;"SRID=4326;POINT(8.27327814618118 49.0293980916396)";42.34855721;945.4892457;;;;;
n224;"SRID=4326;POINT(8.3523338799966 49.4212743386606)";44.14976337;1528.102385;;;;;
